Rate Plan Name,Device Name/Identifier,SKU / IMEI,,,,,,,,,,,,,,,,,,Phone Savings,MyTab Amount Max Limit,Trade In Promo Limit (Percentage),Offer Start Date,Offer End Date,,,,,,,,,,,,,,,,Description
Big Gig Unlimited + Talk 15GB,3PR - Galaxy S10e 128GB Black,629258107271,,,,,,,,,,,,,,,,,,1020,1020,,25-07-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,TBD
Big Gig Unlimited + Talk 15GB,3PR - Galaxy S10e 128GB White,629258107288,,,,,,,,,,,,,,,,,,1020,1020,,25-07-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,TBD
Big Gig Unlimited + Talk 15GB,Samsung Galaxy S9 Grey,887276250861,,,,,,,,,,,,,,,,,,839,839,,25-07-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Samsung Galaxy S9 Purple,887276250878,,,,,,,,,,,,,,,,,,839,839,,25-07-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,3PR - Samsung S9 Grey,629258107059,,,,,,,,,,,,,,,,,,839,839,,25-07-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone 8 64GB Space Grey,190198450944,,,,,,,,,,,,,,,,,,599,599,,25-07-2019 00:00:00,02-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone 8 64GB Silver,190198451309,,,,,,,,,,,,,,,,,,599,599,,25-07-2019 00:00:00,02-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone 8 64GB Gold,190198451668,,,,,,,,,,,,,,,,,,599,599,,25-07-2019 00:00:00,02-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone 8 64GB (PRODUCT)RED,190198744395,,,,,,,,,,,,,,,,,,599,599,,25-07-2019 00:00:00,02-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,3PR - iPhone 8 64GB Space Grey,629258107028,,,,,,,,,,,,,,,,,,599,599,,25-07-2019 00:00:00,02-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
