Tab Rate Plan Group,Device Name/Identifier,SKU / IMEI,,,,,,,,,,,,,,,,,,Phone Savings,MyTab Amount Max Limit,Trade In Promo Limit (Percentage),,,,,,,,,,,,,,,,,,Device Description
Group 8,iPhone XS Max 256GB Space Grey,190198786098,,,,,,,,,,,,,,,,,,1489,1729,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS Max 256GB Silver,190198786111,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS Max 256GB Silver,190198786111,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS Max 256GB Silver,190198786111,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS Max 256GB Silver,190198786111,,,,,,,,,,,,,,,,,,100,1060,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS Max 256GB Silver,190198786111,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone XS Max 256GB Silver,190198786111,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS Max 256GB Silver,190198786111,,,,,,,,,,,,,,,,,,649,1729,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS Max 256GB Silver,190198786111,,,,,,,,,,,,,,,,,,649,1729,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS Max 256GB Silver,190198786111,,,,,,,,,,,,,,,,,,769,1729,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS Max 256GB Silver,190198786111,,,,,,,,,,,,,,,,,,1009,1729,,,,,,,,,,,,,,,,,,,
Group 8,iPhone XS Max 256GB Silver,190198786111,,,,,,,,,,,,,,,,,,1489,1729,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS Max 256GB Gold,190198786135,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS Max 256GB Gold,190198786135,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS Max 256GB Gold,190198786135,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS Max 256GB Gold,190198786135,,,,,,,,,,,,,,,,,,100,1060,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS Max 256GB Gold,190198786135,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
