GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,885,,,,,,,,,,,,,,,,Everywhere 45,1000350,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,891,,,,,,,,,,,,,,,,Everywhere 60,1000351,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,893,,,,,,,,,,,,,,,,Everywhere 60,1000351,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1040,,,,,,,,,,,,,,,,Mobile Internet 40,1000354,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1041,,,,,,,,,,,,,,,,Mobile Internet 40,1000354,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1054,,,,,,,,,,,,,,,,Everywhere 90,1000355,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1056,,,,,,,,,,,,,,,,Everywhere 90,1000355,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1086,,,,,,,,,,,,,,,,Everywhere Talk and Text 35,1000357,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1088,,,,,,,,,,,,,,,,Everywhere Talk and Text 35,1000357,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2056,,,,,,,,,,,,,,,,Everywhere 55,1000359,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2058,,,,,,,,,,,,,,,,Everywhere 55,1000359,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2062,,,,,,,,,,,,,,,,Promo 40,1000360,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2064,,,,,,,,,,,,,,,,Promo 40,1000360,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2050,,,,,,,,,,,,,,,,Smartphone 45 LTE,1000358,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2052,,,,,,,,,,,,,,,,Smartphone 45 LTE,1000358,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1164,,,,,,,,,,,,,,,,Triple 40,1000362,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1166,,,,,,,,,,,,,,,,Triple 40,1000362,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1278,,,,,,,,,,,,,,,,Smartphone 30,1000369,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1280,,,,,,,,,,,,,,,,Smartphone 30,1000369,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1286,,,,,,,,,,,,,,,,Smartphone 40 4GB,1000370,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1288,,,,,,,,,,,,,,,,Smartphone 40 4GB,1000370,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1294,,,,,,,,,,,,,,,,Everywhere 49 6GB,1000371,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1296,,,,,,,,,,,,,,,,Everywhere 49 6GB,1000371,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1302,,,,,,,,,,,,,,,,Everywhere 59 8GB,1000372,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1304,,,,,,,,,,,,,,,,Everywhere 59 8GB,1000372,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1352,,,,,,,,,,,,,,,,Canada 150,1000377,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1354,,,,,,,,,,,,,,,,Canada 150,1000377,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1373,,,,,,,,,,,,,,,,Smartphone 40 2GB,1000378,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1375,,,,,,,,,,,,,,,,Smartphone 40 2GB,1000378,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1385,,,,,,,,,,,,,,,,Everywhere 49 4GB,1000379,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1387,,,,,,,,,,,,,,,,Everywhere 49 4GB,1000379,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1397,,,,,,,,,,,,,,,,Everywhere 59 6GB,1000380,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1399,,,,,,,,,,,,,,,,Everywhere 59 6GB,1000380,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1476,,,,,,,,,,,,,,,,Promo Everywhere 50 8GB,1000381,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1478,,,,,,,,,,,,,,,,Promo Everywhere 50 8GB,1000381,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1491,,,,,,,,,,,,,,,,Smartphone 35 4GB,1000382,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1493,,,,,,,,,,,,,,,,Smartphone 35 4GB,1000382,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1504,,,,,,,,,,,,,,,,Everywhere 44 6GB,1000383,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1506,,,,,,,,,,,,,,,,Everywhere 44 6GB,1000383,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1517,,,,,,,,,,,,,,,,Everywhere 54 8GB,1000384,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1519,,,,,,,,,,,,,,,,Everywhere 54 8GB,1000384,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2067,,,,,,,,,,,,,,,,Home 25,1000387,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2073,,,,,,,,,,,,,,,,Home 25,1000387,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2075,,,,,,,,,,,,,,,,Home 30,1000388,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2081,,,,,,,,,,,,,,,,Home 30,1000388,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2083,,,,,,,,,,,,,,,,Home 40,1000389,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2089,,,,,,,,,,,,,,,,Home 40,1000389,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2093,,,,,,,,,,,,,,,,Everywhere Canada 50,1000390,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2099,,,,,,,,,,,,,,,,Everywhere Canada 50,1000390,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2103,,,,,,,,,,,,,,,,Everywhere Canada 60,1000391,,,,,,,,,,,,,,,,,,,
Freedom Special 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2109,,,,,,,,,,,,,,,,Everywhere Canada 60,1000391,,,,,,,,,,,,,,,,,,,
GRAND OPENING 50,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2113,,,,,,,,,,,,,,,,Everywhere Canada 75,1000392,,,,,,,,,,,,,,,,,,,
